label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
constant,4096,7694612,8705160,8701271,516332,43,0.05370881182721751,0.056719032550911735,0.04038137898911191,0.26438912331116665,0.05807564950208268
constant,8192,7418388,29915074,6693876,406439,36,0.059355487338056734,0.16028173075247978,0.12144129359952495,0.0650281793025533,0.04811252243246881
reduce_mean,64,8567471,12156,8886645,692420,42,0.026065406273275263,0.02673045230263267,0.0025345221853620777,0.014264332854439985,0.06765823467065928
reduce_mean,128,8894791,21417,10212893,795373,49,0.003141212207914127,0.0366853203577887,0.0327366312239361,0.2380838799095901,0.07358267909110182
reduce_mean,256,8629509,68756,9218387,683232,51,0.04287627697299772,0.058151611020251834,0.07395374314725245,0.019214117589566433,0.09803921568627451
reduce_mean,512,9239404,238861,11304143,724991,49,0.14715118742481276,0.045798098150069605,0.13813616610735135,0.05898023239385869,0.2305232717463781
reduce_mean,1024,8737105,930245,9259189,676072,45,0.046999969353186455,0.01196600077453793,0.05612622466032681,0.016920455312529063,0.0
reduce_mean,2048,9090058,3977422,9658439,697362,58,0.008830713226475129,0.026871948890983065,0.06464407289532481,0.01885705563105933,0.22808200957453367
reduce_mean,4096,8564399,15287584,12598526,708198,44,0.029076277830363477,0.012935793392208192,0.2862885572128595,0.024174900824832597,0.1292575229529013
reduce_mean,8192,8974457,59499418,9420579,795681,46,0.055068512080722616,0.0024765789888792273,0.1223488047435471,0.2616273752810692,0.10199602071048795
sigmoid,64,10193806,24724,8176300,499368,37,0.1442716871292277,0.14122052591397666,0.21135493733165728,0.16784622467881755,0.15048011791432492
sigmoid,128,11378708,128024,7795374,660461,40,0.014032604994073977,0.08613620835418209,0.01711209093739526,0.24306195739443123,0.0938662536495913
sigmoid,256,10540440,316657,7877967,451754,35,0.19184601038694493,0.05609679038527524,0.046641064363275975,0.11861369025540668,0.08571428571428572
sigmoid,512,12608078,1502623,9928384,432225,40,0.35185978849688204,0.4488776615619744,0.6601002508677359,0.11803080988772369,0.124790651822657
sigmoid,1024,8900583,4667733,7530530,557964,35,0.12194018734767452,0.0027949630267226516,0.22481119772963676,0.3890561448449324,0.1396098923297051
sigmoid,2048,9201000,17942460,7038035,524259,45,0.04013027223356072,0.10805280486016204,0.09255279766609419,0.16882579407486167,0.16259812049629396
sigmoid,4096,9352251,68207674,7397535,401666,37,0.07638849700563335,0.10276464902995568,0.09021844641435015,0.013106213398608567,0.06681269411744026
sigmoid,8192,10054957,288140673,7903830,392868,136,0.036295235795175615,0.001969901763392457,0.18427229234664833,0.0049346955741898695,1.055443948025736
constant_of_shape,64,10729490,4697,6695480,386216,42,0.18804846251490998,0.5242608576297983,0.16372176151478984,0.01124253396508814,0.12121893164047758
constant_of_shape,128,11470423,14961,5677871,529168,34,0.2225226635567299,0.4152863282890804,0.01762549040855574,0.2893828307455257,0.05094267081084933
constant_of_shape,256,8963174,31849,6911234,440374,37,0.08347408258221382,0.11071724866964876,0.10461179191199564,0.07503898626583191,0.09362436797669607
constant_of_shape,512,12399171,141536,6925026,413295,38,0.332824992343953,0.24143998047947166,0.1260449865095918,0.10577167636785077,0.13271383033052286
constant_of_shape,1024,8827080,527399,10099640,535147,40,0.018903286081866418,0.12281947182230328,0.15799264271053512,0.4723845157780811,0.186088103292524
constant_of_shape,2048,10339934,2053207,8117714,420695,38,0.033408892744634884,0.2200607091485313,0.251855866308938,0.10898368717644658,0.19752724681044428
constant_of_shape,4096,8928170,6862504,7526925,448430,40,0.0110252523143492,0.19495012939781767,0.22506037284647756,0.11028512923176949,0.13228756555322954
constant_of_shape,8192,8967091,24543673,9942006,423670,47,0.012255559270048746,0.0063973519696883694,0.517053111819755,0.10182489569218817,0.26398022500946683
less,64,10523787,3261,10407057,478415,45,0.016809537183083246,0.10742544026042229,0.4624486464504088,0.008926492802566029,0.2459665982893784
less,128,12383203,7922,7065907,407955,36,0.25927973967136486,0.2957172673790874,0.00837791267742768,0.025376639191351677,0.03149183286488868
less,256,13577739,39177,8034926,536746,38,0.24504722161561968,0.38404386326268747,0.11338900947986373,0.2053809555508325,0.1147078669352809
less,512,12046856,95104,7131823,543485,41,0.1453757803033691,0.1366715984050386,0.01667805657206857,0.10708007248964506,0.12195121951219512
less,1024,9812832,310625,7899237,472751,34,0.03331693457043505,0.14368828751757706,0.08482633842955109,0.2712878884304164,0.06726410903180105
less,2048,11190797,1909458,7522304,482687,37,0.05861649524923623,0.031966011063572886,0.09254674854689876,0.29219934356500776,0.10051165213805795
less,4096,10829973,7084221,8105937,440884,36,0.04657083474277852,0.030342480237689606,0.09712306446017477,0.1260471627591996,0.12297953871335167
less,8192,10714000,28301831,10422902,440587,37,0.12478162454043985,0.016928746927809706,0.45512196201886956,0.1683593486805384,0.02702702702702703
tile,64,13517466,24763,8113939,414782,17,0.4566745456537652,0.05518107853307555,0.2003174868954668,0.21930082437501014,0.03330866937632456
tile,128,9392251,66907,8667027,410304,20,0.02388889337288036,0.09146441279569167,0.5342170507760822,0.11974225497064828,0.15
tile,256,11847274,476935,7722791,345738,21,0.17135802234219485,0.38702581994939594,0.387000337008902,0.09239925734564575,0.3719166512336502
tile,512,10502044,952159,6513791,518787,31,0.17521541927232442,0.052115353211364325,0.09409104821536086,0.32591485389188846,0.6847461719895361
tile,1024,9699087,3438935,6329255,340494,22,0.0592441132428713,0.03793362353088191,0.10909473275787497,0.12686683471247828,0.21762718510218737
tile,2048,9599914,13640091,6447498,381606,22,0.09951213316140027,0.005455179463512415,0.10640805751266665,0.11673430562680778,0.21762718510218737
tile,4096,9110008,51270199,6007899,376406,19,0.08218150338761386,0.01799865815585868,0.028933692961058077,0.05979469643818922,0.11742717339450014
tile,8192,9075121,202748743,9524842,323117,18,0.034126019754509886,0.001689185154901573,0.5995120889888874,0.018237380947789816,0.08331955809010619
split,64,9889670,10570,7191925,439125,18,0.17488082170358843,0.03873453033290637,0.18492554247891613,0.2881579375258765,0.08331955809010619
split,128,15144781,11861,6805724,511096,22,0.2560744747410443,0.25813569234189937,0.011983154031287357,0.5772015942623441,0.10340601836232104
split,256,10442162,15782,5888733,539024,19,0.09910284542969279,0.05858617418328755,0.026175238982634776,0.29708135527268087,0.1392500690033995
